2   O=C(N1[C@@H](CCC1)C(=O)NNC(=O)N)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO)Cc1ccc(O)cc1)COC(C)(C)C)CC(C)C)CCCN=C(N)N	[NO NAME]
356   O(CC[N+](CC)(CC)CC)c1c(OCC[N+](CC)(CC)CC)cccc1OCC[N+](CC)(CC)CC.[I-].[I-].[I-]	483

357   Brc1c(NC2=NCCN2)ccc2nccnc12	484

358   Clc1c(c2noc(c2C(=O)N[C@H]2[C@H]3SC([C@@H](N3C2=O)C(=O)O)(C)C)C)c(Cl)ccc1	485

365   P(=O)(OC(OC(=O)CC)C(C)C)(CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)CCCCc1ccccc1	492

375   Clc1ccc(C2(O)CCN(CC2)CCCC(=O)c2ccc(F)cc2)cc1	502

380   c1(cc(c(c(c1)I)Oc1cc(I)c(O)c(c1)I)I)C[C@H](C(=O)O)N	

382   c1(c2cc3cc1Oc1c(Cl)cc([C@@H](O)[C@@H]4NC(=O)[C@H](NC(=O)[C@@H]3NC(=O)[C@@H](NC(=O)[C@@H]([C@@H](c3cc(c(O2)cc3)Cl)O)NC(=O)[C@@H](CC(C)C)NC)CC(=O)N)c2cc(c(cc2)O)c2c([C@@H](C(=O)O)NC4=O)cc(cc2O)O)cc1)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]1C[C@@]([C@@H]([C@@H](O1)C)O)(N)C	

385   Cl[Pt](Cl)(N)N	

386   [Si](=O)=O.[Al](=O)O[Al]=O.O	

387   O(C(=O)C(CCC)CCC)[C@@H]1CC2[N+](C(C1)CC2)(C)C.[Br-]	

393   Clc1cc2NC(N(C(=O)c2cc1S(=O)(=O)N)c1c(cccc1)C)C	524

395   C1CCC[C@@H]2[C@@H]1N[Pt]1(N2)OC(=O)C(=O)O1	

398   P(=O)(O)(O)C(=O)O	

400   ClCCN(P1(=O)OCCCN1)CCCl	531

401   [Hg](Cl)CC(OC)CNC(=O)N	534

405   [Gd+3].[O-]C(=O)CN(CCN(CC(=O)NCCOC)CC(=O)[O-])CCN(CC(=O)NCCOC)CC(=O)[O-]	538

406   ClCC/C(=C(/c1ccc(OCCN(C)C)cc1)\c1ccccc1)/c1ccccc1	539

410   Clc1cc2C(=Nc3c(Oc2cc1)cccc3)N1CCNCC1	543

413   Clc1cc2c(n3c(nnc3CN=C2c2ccccc2)CN(C)C)cc1	546

420   COc1c2oc(=O)ccc2cc2c1occ2	Xanthotoxin

422   Clc1c(c2nnc(nc2N)N)cccc1Cl	555

424   Clc1ccc(C(N2CCN(CC2)CCOCCO)c2ccccc2)cc1	557

429   Clc1c(S(=O)(=O)N)cc2S(=O)(=O)N=C(Nc2c1)CSCc1ccccc1	562

432   S(=O)(=O)([O-])c1ccccc1.S(=O)(=O)([O-])c1ccccc1.O(c1cc2[C@H]([N@+](CCc2cc1OC)(CCC(=O)OCCCCCOC(=O)CC[N@@+]1([C@@H](c2c(CC1)cc(OC)c(OC)c2)Cc1cc(OC)c(OC)cc1)C)C)Cc1cc(OC)c(OC)cc1)C	565

436   [C@H]1([C@@H]([C@H]([C@@H]([C@H](O1)COS(=O)(=O)[O-])O)O)NS(=O)(=O)[O-])O[C@H]1[C@@H]([C@H]([C@@H](O[C@@H]1C(=O)O)O[C@H]1[C@@H]([C@H]([C@H](O[C@@H]1COS(=O)(=O)[O-])O[C@H]1[C@@H]([C@H]([C@@H](O[C@H]1C(=O)O)O[C@H]1[C@@H]([C@H]([C@H](O[C@@H]1COS(=O)(=O)[O-])OC)NS(=O)(=O)[O-])O)OS(=O)(=O)[O-])O)NS(=O)(=O)[O-])OS(=O)(=O)[O-])O)O.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]	

441   Clc1c(NC2=NCCN2)c(Cl)ccc1	575

445   Clc1ccc(C2(O)N3C(=NCC3)c3c2cccc3)cc1	579

451   Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1	586

459   Clc1nc(c(nc1N)N)C(=O)N=C(N)N	594

461   [C@]12([C@@]3([C@H]([C@H]4[C@@]([C@]([C@H](C4)C)(C(=O)CCl)O)(C[C@@H]3O)C)C[C@@H](C1=CC(=O)C=C2)F)F)C	

462   [Gd+3].OC(CN1CCN(CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])C	60714

